University name,Description about university,Short Information,Programs
Seoul National University,"Seoul National University (SNU) is South Korea's most prestigious national university, founded in 1946 as the country's first comprehensive university. It is one of the SKY universities (Seoul National University, Korea University, Yonsei University) and a part of the Flagship Korean National Universities.

SNU has four main campuses:
- The Gwanak Campus in southern Seoul, which is the main campus
- The Yeongeon medical campus in northeast Seoul
- The Pyeongchang green-bio campus in Pyeongchang County, Gangwon Province
- The Siheung campus, which recently started operations to host industry-academia collaborative R&D centers

The university comprises 16 colleges, a graduate school, and 10 professional schools. It offers 85 undergraduate programs, 106 master's programs, and 107 doctoral programs across five fields of study. Many courses are taught in English, especially in the colleges of engineering and business.

SNU is highly ranked globally, coming in at #129 in the U.S. News Best Global Universities rankings and #41 in the QS World University Rankings 2024. It is known for its cutting-edge research, with many departments ranked in the top 20 globally in terms of publications and citation impact.

The university has a strong tradition of excellence, with graduates serving as leaders in Korean society and the international community. SNU alumni include key figures in business, government, and the judiciary in South Korea. The university is committed to fostering a vibrant international community, with over 2,000 students and scholars from 50+ countries currently on campus.",,"College of Humanities: Korean Language and Literature, Chinese Language and Literature,
English Language and Literature, French Language and Literature, German Language and Literature, Russian Language and Literature, Hispanic Language and Literature, Linguistics, Asian Languages and Civilizations, History, Archaeology and Art History, Philosophy, Religious Studies, Aesthetics 

College of Social Sciences: Political Science and International Relations, Economics, Sociology, Anthropology, Psychology, Geography, Social Welfare, Communication
College of Natural Sciences: Mathematical Sciences, Statistics, Physics & Astronomy (Physics Major), Physics & Astronomy (Astronomy Major), Chemistry, Biological Sciences
Earth and Environmental Sciences

College of Nursing

College of Business Administration

College of Engineering: Civil and Environmental Engineering, Mechanical Engineering, Materials Science and Engineering. Electrical and Computer Engineering, Computer Science and Engineering, Chemical and Biological Engineering, Architecture and Architectural Engineering, Industrial Engineering, Energy Resources Engineering, Nuclear Engineering, Naval Architecture and Ocean Engineering, Aerospace Engineering


 College of Agriculture and Life Sciences: Agricultural and Resource Economics, Regional Information, Crop Science and Biotechnology, Horticultural Science and Biotechnology, Vocational Education and Workforce Development, Forest Environmental Science, Environmental Materials Science, Food Science and Biotechnology, Animal Science and Biotechnology, Applied Life Chemistry, Applied Biology, Landscape Architecture, Rural Systems Engineering, Biosystems Engineering, Biomaterials Engineering,

College of Fine Arts: Oriental Painting, Painting, Sculpture, Craft Design

College of Education:  Education Korean Language Education, English Language Education, German Language Education, French Language Education, Social Studies Education, History Education, Geography Education, Ethics Education, Mathematics Education, Physics Education, Chemistry Education, Biology Education, Earth Science Education, Physical Education


College of Human Ecology: Consumer and Child Studies (Consumer Science), Consumer and Child Studies (Child Development and Family Studies), Food and Nutrition, Fashion and Textiles

College of Veterinary Medicine

College of Music: Vocal Music, Composition, Music Piano, Orchestral instruments, Korean Music

College of Medicine

College of Liberal Studies"
KAIST ,"KAIST (Korea Advanced Institute of Science and Technology) is South Korea's first and top science and technology university, founded in 1971. It is known for its cutting-edge research and innovation, with graduates playing key roles in Korea's technological advancements.

KAIST's main campus is located in Daejeon, about 160 km south of Seoul. The university comprises 5 colleges, 14 departments, and 7 schools. It offers 24 undergraduate programs, 86 master's programs, and 77 doctoral programs.

KAIST is highly ranked globally, coming in at #56 in the QS World University Rankings 2024. It is known for its strong focus on science, technology, and entrepreneurship. The university has produced many successful startups and innovations.

KAIST has a vibrant campus life, with many student clubs and organizations. The Graduate Student Club Association provides support for graduate students to engage in club activities and promote cultural diversity.

The university's emblem, designed in 1993, evokes images of expansion, infiniteness, and the universe, representing the opening to a new world. The color purple was designated by the first president as it symbolizes creation and pride.
","University ranking: 56
Language requirement: IELTS 6.5/SAT (Optional, but recommended)
 Tuition fee: Full ride                                                                                                                                                                                                                                                                                                                                                                           Early admission: 09.05 - 10.20
Regular admission: 11.07 - 01.12
Application fee: 80,000 KRW","College of Natural Sciences: Physics, Mathematical Sciences, Chemistry
College of Life Science & Bioengineering: Biological Sciences, Brain and Cognitive Sciences

College of Engineering: Mechanical Engineering, Aerospace Engineering, Electrical Engineering, Computer Science, Civil & Environmental Engineering, Bio & Brain Engineering, Industrial Design, Industrial & Systems Engineering, Chemical & Biomolecular Engineering, Materials Science & Engineering, Nuclear & Quantum Engineering

College of Business: Business and Technology Management"
Yonsei University (Underwood),"Yonsei University is one of the top private research universities in South Korea, known as one of the ""SKY"" universities (along with Seoul National University and Korea University). Founded in 1885, Yonsei University has a long and proud history, with ivy-clad neo-gothic buildings in the central quad of its main campus in the heart of Seoul reflecting this tradition.

The university has additional campuses, including one in Songdo that features state-of-the-art facilities. Yonsei is recognized as the most internationalized higher education institution in South Korea, with a strong focus on global engagement.

Yonsei University makes significant contributions in all major academic research areas, including medicine, engineering, sciences, humanities, and social sciences. The university has 153 research centers and institutes that conduct interdisciplinary, policy-relevant research and foster globally-minded, creative leaders.

Yonsei has become a focal point for initiatives related to sustainable development and addressing critical global issues like climate change, poverty, and inequality. The university prioritizes education that nurtures ""innovative leaders with a community spirit"".

Yonsei offers a wide range of undergraduate, graduate, and non-degree programs, including the highly selective Underwood International College (UIC) liberal arts program. The university has a diverse student body, with over 4,900 international students from 50+ countries.

"," University ranking: 76
Language requirement: IELTS 6.5/SAT
 Tuition fee: 4,000,000-8,000,000 KRW
Application fee: 150,000 KRW
 Deadline: 03.11-03.29","
Underwood: Comparative Literature and Culture, Economics, International Studies, Political Science and International Relations, Life Science and Biotechnology

Humanities, Arts, and Social Sciences: Asian Studies, Information and Interaction Design, Creative Technology Management, Culture and Design Management, Justice and Civil Leadership, Quantitative Risk Management. Science, Technology, and Policy, Sustainable Development and Cooperation

Integrated Science and Engineering: Bio-Convergence, Energy and Environmental Science
and Engineering, Nano Science and Engineering"
Korea University,"Korea University is one of the top private universities in Seoul, South Korea. It was founded in 1905 and is considered the nation's first university funded and administered solely by Koreans.

Korea University is home to over 33,000 students enrolled across 18 colleges and 18 graduate schools. The university offers a wide range of academic programs, from the humanities to engineering and science, as well as professional schools in law, medicine, and business administration.

The university is known for its academic excellence and research capabilities. Korea University has highly regarded faculty, with over 95% holding a PhD or equivalent. It maintains over 140 research centers, including the East Asiatic Research Centre and the Korean Cultural Research Centre.

In terms of rankings, Korea University is ranked #79 in the QS World University Rankings 2024. The university's business programs have also received international accreditations from AACSB and EQUIS.

Beyond the classroom, Korea University has a vibrant campus life. The university's spacious, wooded campus in central Seoul features Gothic-style architecture and modern facilities. Students can take advantage of various amenities and extracurricular activities on campus.","University ranking: 79
Language requirement: IELTS 6.0/TOPIK 3.0
Tuition fee: 4,700,000-5,900,000 KRW
Application fee: 150,000 - 200,000 KRW
Deadline: 02.26 - 03.22","Korea University Business School: Business Administration

College of Liberal Arts: Korean Language and Literature, Philosophy, Korean History, History, Sociology, Sinographic Literatures, English Language and Literature, German Language and Literature, French Language and Literature, Chinese Language and Literature, Russian Language and Literature, Japanese Language and Literature, Spanish Language and Literature, Linguistics

 College of Life Sciences & Biotechnology:Life Sciences, Biotechnology, Food Bioscience and Technology, Environmental Science and Ecological Engineering, Food and Resource Economics

College of Political Science and Economics: Political Science and International Relations, Economics, Statistics, Public Administration

College of Science: Mathematics, Physics, Chemistry, Earth and Environmental Science

College of Engineering: Chemical & Biological Engineering, Materials Science & Engineering, Civil, Environmental, & Architectural Engineering, Architecture (5 years), Mechanical Engineering, Industrial Management Engineering, Electrical Engineering, Integrative Energy Engineering

College of Education: Education, Korean Language Education, English Education, Geography Education, History Education, Home Economics Education, Mathematics Education, Physical Education

College of Informatics: Computer Science and Engineering, Data Science

College of Art & Design: Art & Design 

College of International Studies: International Studies (English Track), Global Korean Studies

College of Media & Communication: Media & Communication

College of Health Science: Biomedical Engineering, Biosystems & Biomedical Science, Health Environmental Science, Health Policy & Management

College of Interdisciplinary Studies:Interdisciplinary Studies

College of Smart Security: Smart Security

College of Psychology: Psychology


"
Sungkyunkwan University,"
Sungkyunkwan University is a prestigious private research university with campuses in Seoul and Suwon, South Korea. The university traces its origins back to the historic Sungkyunkwan institution founded in 1398 during the Joseon dynasty.

SKKU is organized into 18 colleges and 18 graduate schools, offering a wide range of academic programs across the humanities, social sciences, natural sciences, engineering, medicine, and more. The university has over 34,000 students enrolled.

The main campus in central Seoul is located on the same hill as the royal palaces of Joseon, featuring Gothic-style architecture and a scenic natural environment. The natural sciences campus in Suwon provides ample space for research facilities and sports amenities.

SKKU is highly ranked globally, coming in at #=145 in the QS World University Rankings 2024. The university is particularly strong in fields like engineering, business, and the sciences, with several programs ranked in the top 50-70 globally.

Beyond academics, SKKU is known for its vibrant campus life and rich Confucian heritage. The university's motto of ""Humanity, Righteousness, Propriety, and Wisdom"" reflects its core values.","University ranking: 145
Language requirement: IELTS 6.0/TOPIK 4.0
Tuition fee: 5,000,000 KRW - 7,800,000 KRW 

Deadline: First round: 02.26-03.08
                   Second round: 05.20-05.31

Application fee: 150,000 KRW","Humanities: Confucian and Oriental Studies Korean Language and Literature, English Language and Literature, French Language and Literature, Chinese Language and Literature, German Language and Literature, Russian Language and Literature, Korean Literature in Classical Chinese, History, Philosophy, Library and Information Science

Social Sciences: Public Administration, Political Science and Diplomacy, Media and Communication, Sociology, Social Welfare, Psychology, Consumer Sciences, Child Psychology and Education Economics, Statistics, 

Business Administration

Film·Television and Multimedia

Fashion Design

Natural Sciences: Biological Sciences, Mathematics, Physics, Chemistry Food Science and Biotechnology, Bio-Mechatronic Engineering, Integrative Biotechnology

Engineering: Chemical Engineering/Polymer Science & Engineering, Advanced Materials Science and Engineering, Mechanical Engineering, Civil Architectural Engineering and Landscape Architecture, Systems Management Engineering, Nano Engineering

Electronic and Electrical Engineering

Software (English Track)

Sport Science"
Hanyang University,"Hanyang University is a prestigious private research university in South Korea, with its main campus located in Seoul and a second campus called ERICA in Ansan. The university was founded in 1939 and established the nation's first engineering institute, which became its founding facility.

Hanyang University offers a diverse range of academic programs across 16 colleges and schools in the Seoul campus and 9 more in the ERICA campus. These include fields such as engineering, architecture, medicine, nursing, computing, and business administration. The university also has strong graduate programs in various disciplines.

Hanyang is highly ranked globally, coming in at #=164 in the QS World University Rankings 2024. It is particularly renowned for its engineering programs and has partnerships with prestigious institutions like MIT and the University of Cambridge.

Beyond academics, Hanyang University has a vibrant campus life, with student clubs, amenities, and opportunities for international exchange and study abroad. The university welcomes over 7,400 foreign students each year and has an alumni network of 330,000.
","University ranking: 164
Language requirement: IELTS/TOPIK
Tuition fee: Full - 4,700,000 - 7,000,000 KRW
Application fee: 142,000 KRW
Deadline: 03.04-04.12","Engineering: Architecture (5-year program), Architectural Engineering (4-year program), Civil and Environmental Engineering, Urban Planning and Engineering, Earth Resources and Environmental Engineering, Electronic Engineering, Computer Science, Information Systems, Electrical and Biomedical Engineering, Materials Science and Engineering, Chemical Engineering, Bioengineering, Organic and Nano Engineering, Energy Engineering, Mechanical Engineering, Nuclear Engineering, Industrial Engineering, Automotive Engineering, Data Science (English Track)

Humanities: Korean Language & Literature, Chinese Language & Literature, English Language & Literature, German Language & Literature, History, Philosophy, Korean Language & Literature, English Language & Literature

Social Sciences: Political Science & International Studies, Sociology, Media Communication, Tourism

Natural Sciences: Mathematics, Physics, Chemistry, Life Science

Policy Science: Policy Studies, Public Administration

Economics&Finance: Economics & Finance

Business: Business Administration (Korean and English track), Finance

Human Ecology: Clothing & Textiles, Food & Nutrition, Interior Architecture Design

Music: Voice, Composition, Piano, Orchestral Music, Korean Traditional Music

Performing Arts and Sports: Sport Industry and Science, Theater and Film, Dance 

International Studies: Global Korean Studies, International Studies (English track)"
UNIST,"Ulsan National Institute of Science and Technology (UNIST) is one of the four public universities in South Korea dedicated to research in science and technology, along with KAIST, GIST, and DGIST. UNIST was founded in 2007 in response to the growing demand for higher education in Ulsan, South Korea's industrial capital.

UNIST offers a wide range of academic programs across 16 colleges and schools, including fields such as engineering, architecture, medicine, nursing, computing, and business administration. The university has over 4,500 students enrolled, including over 2,100 postgraduate students. UNIST is known for its commitment to English-medium instruction, with 100% of lectures conducted in English.

The university is highly ranked globally, coming in at #=266 in the QS World University Rankings 2024. UNIST is particularly strong in areas like chemical engineering, chemistry, and condensed matter physics, with several programs ranked in the top 50-100 globally. The university has also won major national R&D projects, such as the Green Energy Material Technology Development Center and the New Growth Engine Project Group.

In 2015, UNIST transitioned from a national university to a government-funded research institute, marking a significant milestone in its development. This change has allowed UNIST to align with Korea's other top science and technology institutes, like KAIST, and gain wider international recognition for its cutting-edge research.

UNIST is located in the heart of Ulsan, South Korea's largest industrial city, home to major companies like Hyundai Motor, Hyundai Heavy Industries, and SK Energy. The university aims to contribute to the development of the local industry and economy through its research and technology transfer.","University ranking: 266
Language requirement: IELTS/TOPIK
Tuition fee: Full ride scholarship for all admitted students
Application fee: 55,000 KRW
 Deadline: 01.03 - 02.02","College of Engineering: Department of Mechanical Engineering,
Department of Urban and Environmental Engineering, Department
of Materials Science and Engineering, School of Energy and Chemical
Engineering, Department of Nuclear Engineering (English Track) 

College of Information and Biotechnology: Department of Design, Department of Biomedical Engineering, Department of Industrial Engineering, Department of Biological Sciences, Department of Electrical Engineering, Department of Computer Science and Engineering

College of Natural Sciences: Department of Physics, Department of Mathematical Sciences, Department of Chemistry

School of Business Administration"
DGIST,"DGIST is a public science and engineering university located in Daegu, South Korea. It was established in 2004 by the Korean government as a research institute to promote national science and technology and help boost the local economy in Daegu.

In 2008, the DGIST Act was amended to enable the institute to offer educational (degree) programs, allowing it to transition from a research institute to a research-oriented university. DGIST opened its first undergraduate program in 2014.

The university offers a range of academic programs across six major areas: emerging materials science, information and communication engineering, robotics engineering, energy systems engineering, brain and cognitive sciences, and new biology. These six areas are collectively referred to as ""MIREBraiN"".

DGIST is known for its interdisciplinary approach to education and research, with a focus on convergence and innovation. The university has adopted a ""Transdisciplinary Curriculum with the Single Unified School"" model, moving away from the traditional departmental structure.

In terms of rankings, DGIST is ranked #307 in the QS World University Rankings 2024. The university is particularly strong in areas like materials science, physics, and chemistry, with several programs ranked in the top 50-100 globally.

DGIST has a relatively small student population, with around 1,800 students in total, including both undergraduate and postgraduate students. The university aims to nurture global leaders in knowledge creation and future convergence technology.
","University ranking: 307
Language requirement: IELTS/TOPIK
Tuition fee: Full ride scholarship for all admitted students                                                                                                                                                                                                                                                                                     Deadline: 12.06-01.10
Application fee: 0 KRW","Physics, Chemistry, Life Sciences, Mechanical Engineering, Material Science and Engineering, Electronic Engineering, Computer Science and Engineering, Chemical Engineering (English Track)"
GIST,"GIST is a research-oriented university focused on science and technology, located in Gwangju, South Korea. It was established in 1993 by the Korean government to meet the nation's demand for advanced research and to enhance the development of higher education in science and engineering.

GIST offers a range of academic programs across its various schools and departments, with a focus on applied science and engineering fields. The university has adopted an innovative curriculum that provides a comprehensive, foundational science education as a stepping stone for research into diverse science and engineering disciplines.

In terms of rankings, GIST is highly regarded globally, coming in at #=328 in the QS World University Rankings 2024. The university is particularly strong in areas like computer science, mechanical and aerospace engineering, chemical engineering, and electrical and electronic engineering.

GIST has a student population of around 2,122, including 868 undergraduates and 1,254 postgraduate students. The university maintains a 26:74 ratio of female to male students and has a relatively small percentage of international students at around 7%.

Beyond academics, GIST is known for its vibrant campus life and commitment to entrepreneurship. The university was ranked 1st in startup performance and selected as Korea's Best Entrepreneurship University in 2023. GIST also has a strong track record in research, with its faculty consistently ranked among the top 2% of researchers globally.","University ranking: 328 Language requirement: IELTS
Tuition fee: Full ride scholarship for all admitted students                                                                                                                                                                                                                                                                                    Deadline: 12.20-02.15
Application fee: 0 KRW","Electrical Engineering and Computer Science, Materials Science and Engineering
Mechanical Engineering, Earth Sciences and Environmental Engineering, Life Sciences, Physics, Chemistry (English Track)"
Kyung Hee University,"Kyung Hee University is one of the top private universities in Seoul, South Korea, ranked #=332 in the QS World University Rankings 2024. Founded in 1949, the university has pursued the Kyung Hee Spirit of ""Scholarship and Peace"" as well as the founding principle of ""Creating a Civilized World"".

Kyung Hee University has developed into a comprehensive institution with three campuses:

- The Seoul Campus, dedicated to traditional academic disciplines like humanities, social sciences, medicine, basic science, and fine arts
- The Global Campus, focused on applied studies such as engineering, applied science, international studies, contemporary art, and physical education
- The Gwangneung Campus, home to the Graduate Institute of Peace Studies

In total, the university comprises 22 colleges, 89 departments, 14 graduate schools, and 86 affiliated research centers and institutes. Kyung Hee has a student population of over 32,000, with 3,519 faculty and staff.

The university's medical institutions, including Kyung Hee Medical Center and Kyung Hee University Hospital at Gangdong, have charted new fields of medicine through the innovative amalgamation of Western and Korean medicine. In 2019, they were reorganized into the Kyung Hee Healthcare System to lead the future of medicine.

Kyung Hee University is committed to advancing the tradition of academe and peace, creatively connecting theories and reality, science and praxis, the past and the future, and the region and the earth. It aims to inspire an ideal environment of academia and practice demanded by the future society."," University ranking: 332
Language requirement: IELTS 6.0/TOPIK 3.0
Tuition fee: 4,500,000-6,000,000 KRW
Application fee: 180,000 KRW
Deadline: 1-round: 02.26-03.08 2-round: 04.22-05.10"," College of Humanities: Department of Korean Language and Literature, Department of History, Department of Philosophy, Department of English Language and Linguistics, Department of Applied English Interpretation and Translation

College of Global Eminence: Department of Global Eminence

College of Politics and Economics: Department of Political Science, Department of Public Administration, Department of Sociology, Department of Economics, Department of International Business and Trade, Department of Media

College of Management: Department of Management, Department of Management [English Track] , Department of Accounting and Taxation

College of Hotel and Tourism Management: Department of Hospitality Management, Department of Global Hospitality & Tourism Management [English Track], Department of Culinary Arts & Food Design Management, School of Tourism and Entertainment, Department of Hospitality Management, Department of Tourism

College of Human Ecology: Department of Child and Family Studies, Department of Housing and Interior Design, Department of Clothing and Textiles, Department of Food and Nutrition

College of Science: Department of Mathematics, Department of Physics, Department of Chemistry, Department of Biology, Department of Geography, Department of Information Display

College of Engineering: Department of Mechanical Engineering, Department of Industrial & Management Engineering, Department of Nuclear Engineering, Department of Chemical Engineering, Department of Advanced Materials Engineering for Information & Electronics, Department of Civil Engineering, Department of Architectural Engineering, Department of Environmental Science and Engineering

College of Electronics and Information: Department of Electronic Engineering, Department of Biomedical Engineering

College of Software Convergence: Department of Computer Engineering, Department of Software Convergence, Department of Artificial Intelligence

College of Applied Science: Department of Applied Mathematics, Department of Applied Physics, Department of Applied Chemistry, Department of Astronomy and Space Science

College of Life Sciences: Department of Genetics and Biotechnology, Department of Food Science & BIO Technology, Department of Oriental Medicine Biotechnology, Department of Plant & Environmental New Resources, Department of Smart-Farm Science


College of International Studies: Department of International Studies [English Track], Department of Global Korean Studies [English Track]

College of Foreign Language: Department of French, Department of Spanish, Department of Russian, Department of Chinese, Department of Japanese, Department of Korean, Department of Global Communication

College of Art and Design: Department of Industrial Design, Department of Visual Design, Department of Landscape Architecture, Department of Textile and Clothing Design, Department of Digital Contents, Department of Ceramics, Department of Postmodern Music, Department of Theater & Film

College of Physical Education: Department of Physical Education, Department of Sports Medicine, Department of Golf Industry, Department of Taekwondo, Department of Coaching"
